subject,class,book,book_code,chapter_no,chapter_title,source,pdf_path,text_path,word_count,status
History,6,Our Pasts I,fess1,1,,wayback,data/raw_pdfs/History/Class6/Our_Pasts_I/ch_01.pdf,data/text/History/Class6/Our_Pasts_I/ch_01.txt,,ok
History,6,Our Pasts I,fess1,2,,wayback,data/raw_pdfs/History/Class6/Our_Pasts_I/ch_02.pdf,data/text/History/Class6/Our_Pasts_I/ch_02.txt,,ok
History,6,Our Pasts I,fess1,3,,wayback,data/raw_pdfs/History/Class6/Our_Pasts_I/ch_03.pdf,data/text/History/Class6/Our_Pasts_I/ch_03.txt,,ok
History,6,Our Pasts I,fess1,4,,wayback,data/raw_pdfs/History/Class6/Our_Pasts_I/ch_04.pdf,data/text/History/Class6/Our_Pasts_I/ch_04.txt,,ok
History,6,Our Pasts I,fess1,5,,wayback,data/raw_pdfs/History/Class6/Our_Pasts_I/ch_05.pdf,data/text/History/Class6/Our_Pasts_I/ch_05.txt,,ok
History,6,Our Pasts I,fess1,6,,wayback,data/raw_pdfs/History/Class6/Our_Pasts_I/ch_06.pdf,data/text/History/Class6/Our_Pasts_I/ch_06.txt,,ok
History,6,Our Pasts I,fess1,7,,wayback,data/raw_pdfs/History/Class6/Our_Pasts_I/ch_07.pdf,data/text/History/Class6/Our_Pasts_I/ch_07.txt,,ok
History,6,Our Pasts I,fess1,8,,wayback,data/raw_pdfs/History/Class6/Our_Pasts_I/ch_08.pdf,data/text/History/Class6/Our_Pasts_I/ch_08.txt,,ok
History,6,Our Pasts I,fess1,9,,wayback,data/raw_pdfs/History/Class6/Our_Pasts_I/ch_09.pdf,data/text/History/Class6/Our_Pasts_I/ch_09.txt,,ok
History,6,Our Pasts I,fess1,10,,wayback,data/raw_pdfs/History/Class6/Our_Pasts_I/ch_10.pdf,data/text/History/Class6/Our_Pasts_I/ch_10.txt,,ok
History,6,Our Pasts I,fess1,11,,wayback,data/raw_pdfs/History/Class6/Our_Pasts_I/ch_11.pdf,data/text/History/Class6/Our_Pasts_I/ch_11.txt,,ok
History,7,Our Pasts II,gess1,1,,official,data/raw_pdfs/History/Class7/Our_Pasts_II/ch_01.pdf,data/text/History/Class7/Our_Pasts_II/ch_01.txt,,ok
History,7,Our Pasts II,gess1,2,,official,data/raw_pdfs/History/Class7/Our_Pasts_II/ch_02.pdf,data/text/History/Class7/Our_Pasts_II/ch_02.txt,,ok
History,7,Our Pasts II,gess1,3,,official,data/raw_pdfs/History/Class7/Our_Pasts_II/ch_03.pdf,data/text/History/Class7/Our_Pasts_II/ch_03.txt,,ok
History,7,Our Pasts II,gess1,4,,official,data/raw_pdfs/History/Class7/Our_Pasts_II/ch_04.pdf,data/text/History/Class7/Our_Pasts_II/ch_04.txt,,ok
History,7,Our Pasts II,gess1,5,,official,data/raw_pdfs/History/Class7/Our_Pasts_II/ch_05.pdf,data/text/History/Class7/Our_Pasts_II/ch_05.txt,,ok
History,7,Our Pasts II,gess1,6,,official,data/raw_pdfs/History/Class7/Our_Pasts_II/ch_06.pdf,data/text/History/Class7/Our_Pasts_II/ch_06.txt,,ok
History,7,Our Pasts II,gess1,7,,official,data/raw_pdfs/History/Class7/Our_Pasts_II/ch_07.pdf,data/text/History/Class7/Our_Pasts_II/ch_07.txt,,ok
History,7,Our Pasts II,gess1,8,,official,data/raw_pdfs/History/Class7/Our_Pasts_II/ch_08.pdf,data/text/History/Class7/Our_Pasts_II/ch_08.txt,,ok
History,8,Our Pasts III,hess2,1,,official,data/raw_pdfs/History/Class8/Our_Pasts_III/ch_01.pdf,data/text/History/Class8/Our_Pasts_III/ch_01.txt,,ok
History,8,Our Pasts III,hess2,2,,official,data/raw_pdfs/History/Class8/Our_Pasts_III/ch_02.pdf,data/text/History/Class8/Our_Pasts_III/ch_02.txt,,ok
History,8,Our Pasts III,hess2,3,,official,data/raw_pdfs/History/Class8/Our_Pasts_III/ch_03.pdf,data/text/History/Class8/Our_Pasts_III/ch_03.txt,,ok
History,8,Our Pasts III,hess2,4,,official,data/raw_pdfs/History/Class8/Our_Pasts_III/ch_04.pdf,data/text/History/Class8/Our_Pasts_III/ch_04.txt,,ok
History,8,Our Pasts III,hess2,5,,official,data/raw_pdfs/History/Class8/Our_Pasts_III/ch_05.pdf,data/text/History/Class8/Our_Pasts_III/ch_05.txt,,ok
History,8,Our Pasts III,hess2,6,,official,data/raw_pdfs/History/Class8/Our_Pasts_III/ch_06.pdf,data/text/History/Class8/Our_Pasts_III/ch_06.txt,,ok
History,8,Our Pasts III,hess2,7,,official,data/raw_pdfs/History/Class8/Our_Pasts_III/ch_07.pdf,data/text/History/Class8/Our_Pasts_III/ch_07.txt,,ok
History,8,Our Pasts III,hess2,8,,official,data/raw_pdfs/History/Class8/Our_Pasts_III/ch_08.pdf,data/text/History/Class8/Our_Pasts_III/ch_08.txt,,ok
History,9,India and the Contemporary World I,iess3,1,,wayback,data/raw_pdfs/History/Class9/India_and_the_Contemporary_World_I/ch_01.pdf,data/text/History/Class9/India_and_the_Contemporary_World_I/ch_01.txt,,ok
History,9,India and the Contemporary World I,iess3,2,,wayback,data/raw_pdfs/History/Class9/India_and_the_Contemporary_World_I/ch_02.pdf,data/text/History/Class9/India_and_the_Contemporary_World_I/ch_02.txt,,ok
History,9,India and the Contemporary World I,iess3,3,,wayback,data/raw_pdfs/History/Class9/India_and_the_Contemporary_World_I/ch_03.pdf,data/text/History/Class9/India_and_the_Contemporary_World_I/ch_03.txt,,ok
History,9,India and the Contemporary World I,iess3,4,,wayback,data/raw_pdfs/History/Class9/India_and_the_Contemporary_World_I/ch_04.pdf,data/text/History/Class9/India_and_the_Contemporary_World_I/ch_04.txt,,ok
History,9,India and the Contemporary World I,iess3,5,,wayback,data/raw_pdfs/History/Class9/India_and_the_Contemporary_World_I/ch_05.pdf,data/text/History/Class9/India_and_the_Contemporary_World_I/ch_05.txt,,ok
History,9,India and the Contemporary World I,iess3,6,,wayback,data/raw_pdfs/History/Class9/India_and_the_Contemporary_World_I/ch_06.pdf,data/text/History/Class9/India_and_the_Contemporary_World_I/ch_06.txt,,ok
History,10,India and the Contemporary World II,jess3,1,,official,data/raw_pdfs/History/Class10/India_and_the_Contemporary_World_II/ch_01.pdf,data/text/History/Class10/India_and_the_Contemporary_World_II/ch_01.txt,,ok
History,10,India and the Contemporary World II,jess3,2,,official,data/raw_pdfs/History/Class10/India_and_the_Contemporary_World_II/ch_02.pdf,data/text/History/Class10/India_and_the_Contemporary_World_II/ch_02.txt,,ok
History,10,India and the Contemporary World II,jess3,3,,official,data/raw_pdfs/History/Class10/India_and_the_Contemporary_World_II/ch_03.pdf,data/text/History/Class10/India_and_the_Contemporary_World_II/ch_03.txt,,ok
History,10,India and the Contemporary World II,jess3,4,,official,data/raw_pdfs/History/Class10/India_and_the_Contemporary_World_II/ch_04.pdf,data/text/History/Class10/India_and_the_Contemporary_World_II/ch_04.txt,,ok
History,10,India and the Contemporary World II,jess3,5,,official,data/raw_pdfs/History/Class10/India_and_the_Contemporary_World_II/ch_05.pdf,data/text/History/Class10/India_and_the_Contemporary_World_II/ch_05.txt,,ok
History,11,Themes in World History,kehs1,1,,official,data/raw_pdfs/History/Class11/Themes_in_World_History/ch_01.pdf,data/text/History/Class11/Themes_in_World_History/ch_01.txt,,ok
History,11,Themes in World History,kehs1,2,,official,data/raw_pdfs/History/Class11/Themes_in_World_History/ch_02.pdf,data/text/History/Class11/Themes_in_World_History/ch_02.txt,,ok
History,11,Themes in World History,kehs1,3,,official,data/raw_pdfs/History/Class11/Themes_in_World_History/ch_03.pdf,data/text/History/Class11/Themes_in_World_History/ch_03.txt,,ok
History,11,Themes in World History,kehs1,4,,official,data/raw_pdfs/History/Class11/Themes_in_World_History/ch_04.pdf,data/text/History/Class11/Themes_in_World_History/ch_04.txt,,ok
History,11,Themes in World History,kehs1,5,,official,data/raw_pdfs/History/Class11/Themes_in_World_History/ch_05.pdf,data/text/History/Class11/Themes_in_World_History/ch_05.txt,,ok
History,11,Themes in World History,kehs1,6,,official,data/raw_pdfs/History/Class11/Themes_in_World_History/ch_06.pdf,data/text/History/Class11/Themes_in_World_History/ch_06.txt,,ok
History,11,Themes in World History,kehs1,7,,official,data/raw_pdfs/History/Class11/Themes_in_World_History/ch_07.pdf,data/text/History/Class11/Themes_in_World_History/ch_07.txt,,ok
History,12,Themes in Indian History I,lehs1,1,,official,data/raw_pdfs/History/Class12/Themes_in_Indian_History_I/ch_01.pdf,data/text/History/Class12/Themes_in_Indian_History_I/ch_01.txt,,ok
History,12,Themes in Indian History I,lehs1,2,,official,data/raw_pdfs/History/Class12/Themes_in_Indian_History_I/ch_02.pdf,data/text/History/Class12/Themes_in_Indian_History_I/ch_02.txt,,ok
History,12,Themes in Indian History I,lehs1,3,,official,data/raw_pdfs/History/Class12/Themes_in_Indian_History_I/ch_03.pdf,data/text/History/Class12/Themes_in_Indian_History_I/ch_03.txt,,ok
History,12,Themes in Indian History I,lehs1,4,,official,data/raw_pdfs/History/Class12/Themes_in_Indian_History_I/ch_04.pdf,data/text/History/Class12/Themes_in_Indian_History_I/ch_04.txt,,ok
History,12,Themes in Indian History II,lehs2,1,,official,data/raw_pdfs/History/Class12/Themes_in_Indian_History_II/ch_01.pdf,data/text/History/Class12/Themes_in_Indian_History_II/ch_01.txt,,ok
History,12,Themes in Indian History II,lehs2,2,,official,data/raw_pdfs/History/Class12/Themes_in_Indian_History_II/ch_02.pdf,data/text/History/Class12/Themes_in_Indian_History_II/ch_02.txt,,ok
History,12,Themes in Indian History II,lehs2,3,,official,data/raw_pdfs/History/Class12/Themes_in_Indian_History_II/ch_03.pdf,data/text/History/Class12/Themes_in_Indian_History_II/ch_03.txt,,ok
History,12,Themes in Indian History II,lehs2,4,,official,data/raw_pdfs/History/Class12/Themes_in_Indian_History_II/ch_04.pdf,data/text/History/Class12/Themes_in_Indian_History_II/ch_04.txt,,ok
History,12,Themes in Indian History III,lehs3,1,,official,data/raw_pdfs/History/Class12/Themes_in_Indian_History_III/ch_01.pdf,data/text/History/Class12/Themes_in_Indian_History_III/ch_01.txt,,ok
History,12,Themes in Indian History III,lehs3,2,,official,data/raw_pdfs/History/Class12/Themes_in_Indian_History_III/ch_02.pdf,data/text/History/Class12/Themes_in_Indian_History_III/ch_02.txt,,ok
History,12,Themes in Indian History III,lehs3,3,,official,data/raw_pdfs/History/Class12/Themes_in_Indian_History_III/ch_03.pdf,data/text/History/Class12/Themes_in_Indian_History_III/ch_03.txt,,ok
History,12,Themes in Indian History III,lehs3,4,,official,data/raw_pdfs/History/Class12/Themes_in_Indian_History_III/ch_04.pdf,data/text/History/Class12/Themes_in_Indian_History_III/ch_04.txt,,ok
Geography,6,The Earth Our Habitat,fess2,1,,wayback,data/raw_pdfs/Geography/Class6/The_Earth_Our_Habitat/ch_01.pdf,data/text/Geography/Class6/The_Earth_Our_Habitat/ch_01.txt,,ok
Geography,6,The Earth Our Habitat,fess2,2,,wayback,data/raw_pdfs/Geography/Class6/The_Earth_Our_Habitat/ch_02.pdf,data/text/Geography/Class6/The_Earth_Our_Habitat/ch_02.txt,,ok
Geography,6,The Earth Our Habitat,fess2,3,,wayback,data/raw_pdfs/Geography/Class6/The_Earth_Our_Habitat/ch_03.pdf,data/text/Geography/Class6/The_Earth_Our_Habitat/ch_03.txt,,ok
Geography,6,The Earth Our Habitat,fess2,4,,wayback,data/raw_pdfs/Geography/Class6/The_Earth_Our_Habitat/ch_04.pdf,data/text/Geography/Class6/The_Earth_Our_Habitat/ch_04.txt,,ok
Geography,6,The Earth Our Habitat,fess2,5,,wayback,data/raw_pdfs/Geography/Class6/The_Earth_Our_Habitat/ch_05.pdf,data/text/Geography/Class6/The_Earth_Our_Habitat/ch_05.txt,,ok
Geography,6,The Earth Our Habitat,fess2,6,,wayback,data/raw_pdfs/Geography/Class6/The_Earth_Our_Habitat/ch_06.pdf,data/text/Geography/Class6/The_Earth_Our_Habitat/ch_06.txt,,ok
Geography,6,The Earth Our Habitat,fess2,7,,wayback,data/raw_pdfs/Geography/Class6/The_Earth_Our_Habitat/ch_07.pdf,data/text/Geography/Class6/The_Earth_Our_Habitat/ch_07.txt,,ok
Geography,6,The Earth Our Habitat,fess2,8,,wayback,data/raw_pdfs/Geography/Class6/The_Earth_Our_Habitat/ch_08.pdf,data/text/Geography/Class6/The_Earth_Our_Habitat/ch_08.txt,,ok
Geography,7,Our Environment,gess2,1,,official,data/raw_pdfs/Geography/Class7/Our_Environment/ch_01.pdf,data/text/Geography/Class7/Our_Environment/ch_01.txt,,ok
Geography,7,Our Environment,gess2,2,,official,data/raw_pdfs/Geography/Class7/Our_Environment/ch_02.pdf,data/text/Geography/Class7/Our_Environment/ch_02.txt,,ok
Geography,7,Our Environment,gess2,3,,official,data/raw_pdfs/Geography/Class7/Our_Environment/ch_03.pdf,data/text/Geography/Class7/Our_Environment/ch_03.txt,,ok
Geography,7,Our Environment,gess2,4,,official,data/raw_pdfs/Geography/Class7/Our_Environment/ch_04.pdf,data/text/Geography/Class7/Our_Environment/ch_04.txt,,ok
Geography,7,Our Environment,gess2,5,,official,data/raw_pdfs/Geography/Class7/Our_Environment/ch_05.pdf,data/text/Geography/Class7/Our_Environment/ch_05.txt,,ok
Geography,7,Our Environment,gess2,6,,official,data/raw_pdfs/Geography/Class7/Our_Environment/ch_06.pdf,data/text/Geography/Class7/Our_Environment/ch_06.txt,,ok
Geography,7,Our Environment,gess2,7,,official,data/raw_pdfs/Geography/Class7/Our_Environment/ch_07.pdf,data/text/Geography/Class7/Our_Environment/ch_07.txt,,ok
Geography,8,Resource and Development,hess4,1,,official,data/raw_pdfs/Geography/Class8/Resource_and_Development/ch_01.pdf,data/text/Geography/Class8/Resource_and_Development/ch_01.txt,,ok
Geography,8,Resource and Development,hess4,2,,official,data/raw_pdfs/Geography/Class8/Resource_and_Development/ch_02.pdf,data/text/Geography/Class8/Resource_and_Development/ch_02.txt,,ok
Geography,8,Resource and Development,hess4,3,,official,data/raw_pdfs/Geography/Class8/Resource_and_Development/ch_03.pdf,data/text/Geography/Class8/Resource_and_Development/ch_03.txt,,ok
Geography,8,Resource and Development,hess4,4,,official,data/raw_pdfs/Geography/Class8/Resource_and_Development/ch_04.pdf,data/text/Geography/Class8/Resource_and_Development/ch_04.txt,,ok
Geography,8,Resource and Development,hess4,5,,official,data/raw_pdfs/Geography/Class8/Resource_and_Development/ch_05.pdf,data/text/Geography/Class8/Resource_and_Development/ch_05.txt,,ok
Geography,9,Contemporary India I,iess1,1,,wayback,data/raw_pdfs/Geography/Class9/Contemporary_India_I/ch_01.pdf,data/text/Geography/Class9/Contemporary_India_I/ch_01.txt,,ok
Geography,9,Contemporary India I,iess1,2,,wayback,data/raw_pdfs/Geography/Class9/Contemporary_India_I/ch_02.pdf,data/text/Geography/Class9/Contemporary_India_I/ch_02.txt,,ok
Geography,9,Contemporary India I,iess1,3,,wayback,data/raw_pdfs/Geography/Class9/Contemporary_India_I/ch_03.pdf,data/text/Geography/Class9/Contemporary_India_I/ch_03.txt,,ok
Geography,9,Contemporary India I,iess1,4,,wayback,data/raw_pdfs/Geography/Class9/Contemporary_India_I/ch_04.pdf,data/text/Geography/Class9/Contemporary_India_I/ch_04.txt,,ok
Geography,9,Contemporary India I,iess1,5,,wayback,data/raw_pdfs/Geography/Class9/Contemporary_India_I/ch_05.pdf,data/text/Geography/Class9/Contemporary_India_I/ch_05.txt,,ok
Geography,9,Contemporary India I,iess1,6,,wayback,data/raw_pdfs/Geography/Class9/Contemporary_India_I/ch_06.pdf,data/text/Geography/Class9/Contemporary_India_I/ch_06.txt,,ok
Geography,10,Contemporary India II,jess1,1,,official,data/raw_pdfs/Geography/Class10/Contemporary_India_II/ch_01.pdf,data/text/Geography/Class10/Contemporary_India_II/ch_01.txt,,ok
Geography,10,Contemporary India II,jess1,2,,official,data/raw_pdfs/Geography/Class10/Contemporary_India_II/ch_02.pdf,data/text/Geography/Class10/Contemporary_India_II/ch_02.txt,,ok
Geography,10,Contemporary India II,jess1,3,,official,data/raw_pdfs/Geography/Class10/Contemporary_India_II/ch_03.pdf,data/text/Geography/Class10/Contemporary_India_II/ch_03.txt,,ok
Geography,10,Contemporary India II,jess1,4,,official,data/raw_pdfs/Geography/Class10/Contemporary_India_II/ch_04.pdf,data/text/Geography/Class10/Contemporary_India_II/ch_04.txt,,ok
Geography,10,Contemporary India II,jess1,5,,official,data/raw_pdfs/Geography/Class10/Contemporary_India_II/ch_05.pdf,data/text/Geography/Class10/Contemporary_India_II/ch_05.txt,,ok
Geography,10,Contemporary India II,jess1,6,,official,data/raw_pdfs/Geography/Class10/Contemporary_India_II/ch_06.pdf,data/text/Geography/Class10/Contemporary_India_II/ch_06.txt,,ok
Geography,10,Contemporary India II,jess1,7,,official,data/raw_pdfs/Geography/Class10/Contemporary_India_II/ch_07.pdf,data/text/Geography/Class10/Contemporary_India_II/ch_07.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,1,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_01.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_01.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,2,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_02.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_02.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,3,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_03.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_03.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,4,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_04.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_04.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,5,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_05.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_05.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,6,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_06.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_06.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,7,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_07.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_07.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,8,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_08.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_08.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,9,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_09.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_09.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,10,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_10.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_10.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,11,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_11.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_11.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,12,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_12.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_12.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,13,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_13.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_13.txt,,ok
Geography,11,Fundamentals of Physical Geography,kegy2,14,,official,data/raw_pdfs/Geography/Class11/Fundamentals_of_Physical_Geography/ch_14.pdf,data/text/Geography/Class11/Fundamentals_of_Physical_Geography/ch_14.txt,,ok
Geography,11,India Physical Environment,kegy1,1,,official,data/raw_pdfs/Geography/Class11/India_Physical_Environment/ch_01.pdf,data/text/Geography/Class11/India_Physical_Environment/ch_01.txt,,ok
Geography,11,India Physical Environment,kegy1,2,,official,data/raw_pdfs/Geography/Class11/India_Physical_Environment/ch_02.pdf,data/text/Geography/Class11/India_Physical_Environment/ch_02.txt,,ok
Geography,11,India Physical Environment,kegy1,3,,official,data/raw_pdfs/Geography/Class11/India_Physical_Environment/ch_03.pdf,data/text/Geography/Class11/India_Physical_Environment/ch_03.txt,,ok
Geography,11,India Physical Environment,kegy1,4,,official,data/raw_pdfs/Geography/Class11/India_Physical_Environment/ch_04.pdf,data/text/Geography/Class11/India_Physical_Environment/ch_04.txt,,ok
Geography,11,India Physical Environment,kegy1,5,,official,data/raw_pdfs/Geography/Class11/India_Physical_Environment/ch_05.pdf,data/text/Geography/Class11/India_Physical_Environment/ch_05.txt,,ok
Geography,11,India Physical Environment,kegy1,6,,official,data/raw_pdfs/Geography/Class11/India_Physical_Environment/ch_06.pdf,data/text/Geography/Class11/India_Physical_Environment/ch_06.txt,,ok
Geography,12,Fundamentals of Human Geography,legy1,1,,official,data/raw_pdfs/Geography/Class12/Fundamentals_of_Human_Geography/ch_01.pdf,data/text/Geography/Class12/Fundamentals_of_Human_Geography/ch_01.txt,,ok
Geography,12,Fundamentals of Human Geography,legy1,2,,official,data/raw_pdfs/Geography/Class12/Fundamentals_of_Human_Geography/ch_02.pdf,data/text/Geography/Class12/Fundamentals_of_Human_Geography/ch_02.txt,,ok
Geography,12,Fundamentals of Human Geography,legy1,3,,official,data/raw_pdfs/Geography/Class12/Fundamentals_of_Human_Geography/ch_03.pdf,data/text/Geography/Class12/Fundamentals_of_Human_Geography/ch_03.txt,,ok
Geography,12,Fundamentals of Human Geography,legy1,4,,official,data/raw_pdfs/Geography/Class12/Fundamentals_of_Human_Geography/ch_04.pdf,data/text/Geography/Class12/Fundamentals_of_Human_Geography/ch_04.txt,,ok
Geography,12,Fundamentals of Human Geography,legy1,5,,official,data/raw_pdfs/Geography/Class12/Fundamentals_of_Human_Geography/ch_05.pdf,data/text/Geography/Class12/Fundamentals_of_Human_Geography/ch_05.txt,,ok
